,Words,Unista,JYGA,MG_Tech,Sidel,Total
382,palettiseur,2.0,81.0,12.0,23.0,118.0
383,effectu,1.0,0.0,0.0,0.0,1.0
384,façon,1.0,7.0,0.0,7.0,15.0
385,recevoir,4.0,157.0,4.0,222.0,387.0
386,abb,6.0,0.0,1.0,0.0,7.0
387,award,3.0,0.0,0.0,5.0,8.0
388,coopération,3.0,0.0,0.0,6.0,9.0
389,passer,3.0,3.0,8.0,32.0,46.0
390,encaisseuse,3.0,49.0,15.0,4.0,71.0
391,versiondépose,1.0,0.0,0.0,0.0,1.0
392,intégration,1.0,33.0,4.0,16.0,54.0
393,exister,1.0,24.0,4.0,7.0,36.0
394,interface,1.0,4.0,0.0,10.0,15.0
395,homme,1.0,4.0,2.0,7.0,14.0
396,communication,2.0,5.0,2.0,6.0,15.0
397,pick,1.0,0.0,4.0,2.0,7.0
398,and,1.0,0.0,5.0,46.0,52.0
399,place,1.0,13.0,13.0,14.0,41.0
400,boucheuse,1.0,0.0,0.0,2.0,3.0
401,idéal,1.0,0.0,5.0,9.0,15.0
402,enfoncer,1.0,0.0,0.0,0.0,1.0
403,pomper,1.0,0.0,0.0,0.0,1.0
404,unilogo,1.0,0.0,0.0,0.0,1.0
405,cosmétique,1.0,15.0,15.0,0.0,31.0
406,versiondégotiseur,1.0,0.0,0.0,0.0,1.0
407,décharger,1.0,1.0,0.0,0.0,2.0
408,certain,1.0,11.0,3.0,12.0,27.0
409,pouvon,2.0,1.0,0.0,2.0,5.0
410,dispositif,1.0,0.0,0.0,7.0,8.0
411,marquag,3.0,1.0,0.0,0.0,4.0
412,petit,3.0,9.0,3.0,20.0,35.0
413,aspirer,1.0,5.0,0.0,0.0,6.0
414,expérience,1.0,14.0,13.0,68.0,96.0
415,déchargement,1.0,8.0,2.0,1.0,12.0
416,notamment,4.0,6.0,9.0,51.0,70.0
417,aide,1.0,10.0,2.0,8.0,21.0
418,rassembler,4.0,0.0,1.0,1.0,6.0
419,faciliter,7.0,2.0,11.0,25.0,45.0
420,utilisation,16.0,18.0,11.0,36.0,81.0
421,palettisercontact,1.0,0.0,0.0,0.0,1.0
422,destiner,2.0,5.0,1.0,9.0,17.0
423,surtout,2.0,0.0,3.0,3.0,8.0
424,disposer,2.0,4.0,1.0,1.0,8.0
425,limité,2.0,0.0,1.0,9.0,12.0
426,souhaitent,1.0,0.0,1.0,0.0,2.0
427,atouts,1.0,0.0,0.0,6.0,7.0
428,réside,1.0,0.0,1.0,0.0,2.0
429,innovant,1.0,3.0,1.0,51.0,56.0
430,trop,2.0,0.0,0.0,1.0,3.0
431,temp,1.0,2.0,1.0,6.0,10.0
432,effort,1.0,0.0,1.0,1.0,3.0
433,personnel,18.0,17.0,2.0,39.0,76.0
434,rationaliser,2.0,0.0,0.0,3.0,5.0
435,coût,2.0,3.0,9.0,93.0,107.0
436,dépalettiseur,2.0,9.0,0.0,5.0,16.0
437,entièrement,2.0,1.0,0.0,21.0,24.0
438,déchargemer,3.0,2.0,0.0,0.0,5.0
439,manuel,2.0,30.0,7.0,7.0,46.0
440,versionligne,1.0,0.0,0.0,0.0,1.0
441,profiter,1.0,1.0,0.0,2.0,4.0
442,ergonomique,1.0,14.0,5.0,7.0,27.0
443,réduire,1.0,3.0,5.0,53.0,62.0
444,efficacité,1.0,2.0,1.0,37.0,41.0
445,booster,1.0,0.0,0.0,2.0,3.0
446,différents,1.0,0.0,3.0,5.0,9.0
447,bouchag,1.0,0.0,0.0,1.0,2.0
448,etcunista,1.0,0.0,0.0,0.0,1.0
449,phare,2.0,2.0,0.0,5.0,9.0
450,manipulateur,5.0,16.0,0.0,0.0,21.0
451,encaisseuser,2.0,4.0,0.0,2.0,8.0
452,palettiseursnous,2.0,0.0,0.0,0.0,2.0
453,inclure,2.0,2.0,1.0,6.0,11.0
454,remplisseur,2.0,0.0,0.0,36.0,38.0
455,étiqueteus,2.0,15.0,0.0,7.0,24.0
456,plein,2.0,60.0,1.0,6.0,69.0
457,versionéquipement,1.0,0.0,0.0,0.0,1.0
458,usinage,1.0,0.0,0.0,0.0,1.0
459,piècesintroduction,1.0,0.0,0.0,0.0,1.0
460,individuelconditionnement,1.0,0.0,0.0,0.0,1.0
461,cartondépos,1.0,0.0,0.0,0.0,1.0
462,couvercl,4.0,3.0,1.0,0.0,8.0
463,paquet,1.0,11.0,1.0,0.0,13.0
464,lingettessolution,1.0,0.0,0.0,0.0,1.0
465,blisterautomatiser,1.0,0.0,0.0,0.0,1.0
466,tâche,3.0,9.0,0.0,5.0,17.0
467,demander,6.0,6.0,2.0,9.0,23.0
468,précision,3.0,3.0,0.0,23.0,29.0
469,répétitivité,3.0,0.0,0.0,0.0,3.0
470,permetter,4.0,0.0,0.0,0.0,4.0
471,productivité,5.0,7.0,12.0,22.0,46.0
472,enregistré,6.0,0.0,0.0,0.0,6.0
473,ultra,2.0,0.0,0.0,0.0,2.0
474,flexibiliter,1.0,0.0,0.0,18.0,19.0
475,point,4.0,4.0,8.0,32.0,48.0
476,fort,2.0,8.0,10.0,25.0,45.0
477,lequel,6.0,7.0,1.0,9.0,23.0
478,changer,3.0,1.0,0.0,2.0,6.0
479,indispensable,2.0,2.0,1.0,4.0,9.0
480,sachet,5.0,67.0,12.0,3.0,87.0
481,souple,2.0,2.0,1.0,3.0,8.0
482,convoyage,1.0,9.0,7.0,11.0,28.0
483,encollage,2.0,0.0,0.0,0.0,2.0
484,dynamiser,1.0,0.0,0.0,0.0,1.0
485,fonctionnalité,1.0,7.0,9.0,12.0,29.0
486,rapidité,1.0,0.0,1.0,1.0,3.0
487,action,1.0,0.0,5.0,12.0,18.0
488,effet,2.0,3.0,1.0,27.0,33.0
489,optimisation,1.0,3.0,7.0,15.0,26.0
490,ailleurs,2.0,2.0,3.0,16.0,23.0
491,versionetuyeus,1.0,0.0,0.0,0.0,1.0
492,protection,4.0,13.0,3.0,18.0,38.0
493,sortir,1.0,34.0,5.0,10.0,50.0
494,convoyeurle,1.0,0.0,0.0,0.0,1.0
495,déplacement,1.0,0.0,4.0,2.0,7.0
496,cherchion,1.0,0.0,0.0,0.0,1.0
497,manipulation,2.0,9.0,4.0,6.0,21.0
498,assez,1.0,0.0,0.0,2.0,3.0
499,compliquer,1.0,0.0,0.0,0.0,1.0
500,uniquement,1.0,0.0,2.0,8.0,11.0
501,cellule,1.0,22.0,0.0,0.0,23.0
502,manipuler,1.0,5.0,3.0,3.0,12.0
503,tenir,2.0,3.0,8.0,17.0,30.0
504,occupe,1.0,0.0,0.0,5.0,6.0
505,versionmanipulateur,1.0,0.0,0.0,0.0,1.0
506,très,3.0,14.0,24.0,115.0,156.0
507,industrie,1.0,14.0,16.0,40.0,71.0
508,cosmetiqu,1.0,0.0,0.0,0.0,1.0
509,convoyag,1.0,1.0,4.0,12.0,18.0
510,personne,3.0,3.0,2.0,5.0,13.0
511,médical,2.0,0.0,0.0,0.0,2.0
512,patch,1.0,0.0,0.0,0.0,1.0
513,dbv,1.0,0.0,0.0,0.0,1.0
514,fiabilité,1.0,1.0,2.0,25.0,29.0
515,reconnaître,1.0,4.0,5.0,7.0,17.0
516,respectueux,1.0,0.0,0.0,1.0,2.0
517,nature,2.0,6.0,0.0,0.0,8.0
